Country,Year,CO2_emission_per_capita
Afghanistan,1990.0,0.205389319
Afghanistan,1991.0,0.177211031
Afghanistan,1992.0,0.092187586
Afghanistan,1993.0,0.080629967
Afghanistan,1994.0,0.071144383
Afghanistan,1995.0,0.06410684
Afghanistan,1996.0,0.057964759
Afghanistan,1997.0,0.052333365
Afghanistan,1998.0,0.048546686
Afghanistan,1999.0,0.037446034
Afghanistan,2e3,0.034170007
Afghanistan,2001.0,0.027255262
Afghanistan,2002.0,0.014583427
Afghanistan,2003.0,0.022703695
Afghanistan,2004.0,0.02747237
Afghanistan,2005.0,0.036779904
Afghanistan,2006.0,0.047089636
Afghanistan,2007.0,0.068311633
Afghanistan,2008.0,0.131601903
Afghanistan,2009.0,0.213325007
Afghanistan,2010.0,0.262173714
Albania,1990.0,2.276142887
Albania,1991.0,1.206369363
Albania,1992.0,0.730643533
Albania,1993.0,0.726533931
Albania,1994.0,0.606605394
Albania,1995.0,0.664204261
Albania,1996.0,0.647904842
Albania,1997.0,0.499261188
Albania,1998.0,0.569225594
Albania,1999.0,0.971341941
Albania,2e3,0.983553048
Albania,2001.0,1.047320154
Albania,2002.0,1.214003077
Albania,2003.0,1.382066271
Albania,2004.0,1.332965957
Albania,2005.0,1.353788699
Albania,2006.0,1.224310364
Albania,2007.0,1.27942017
Albania,2008.0,1.297752738
Albania,2009.0,1.215054777
Albania,2010.0,1.336544035
Algeria,1990.0,3.11821676
Algeria,1991.0,3.141132831
Algeria,1992.0,3.097162036
Algeria,1993.0,3.035233508
Algeria,1994.0,3.111325685
Algeria,1995.0,3.3467306
Algeria,1996.0,3.354239287
Algeria,1997.0,3.015670427
Algeria,1998.0,3.608257648
Algeria,1999.0,3.060244617
Algeria,2e3,2.879527679
Algeria,2001.0,2.720453311
Algeria,2002.0,2.889312783
Algeria,2003.0,2.899236274
Algeria,2004.0,2.762219639
Algeria,2005.0,3.257009779
Algeria,2006.0,3.113135178
Algeria,2007.0,3.312874684
Algeria,2008.0,3.328944661
Algeria,2009.0,3.564360549
Algeria,2010.0,3.480976541
Algeria,2011.0,3.562503969
Algeria,2012.0,3.785653835
Andorra,1995.0,6.290669098
Andorra,1996.0,6.520817044
Andorra,1997.0,7.061602855
Andorra,1998.0,7.533542944
Andorra,1999.0,8.022713657
Andorra,2e3,8.112345412
Andorra,2001.0,7.897775769
Andorra,2002.0,7.700515138
Andorra,2003.0,7.414281032
Andorra,2004.0,7.499690095
Andorra,2005.0,7.390954533
Andorra,2006.0,6.839939571
Andorra,2007.0,6.622435189
Andorra,2008.0,6.527241242
Andorra,2009.0,6.178519784
Andorra,2010.0,6.092100302
Angola,1990.0,0.42857388
Angola,1991.0,0.409911658
Angola,1992.0,0.401560436
Angola,1993.0,0.51009445899999994
Angola,1994.0,0.331290691
Angola,1995.0,0.909616232
Angola,1996.0,0.842412671
Angola,1997.0,0.576990561
Angola,1998.0,0.556212458
Angola,1999.0,0.677616537
Angola,2e3,0.68507907
Angola,2001.0,0.676339193
Angola,2002.0,0.850521392
Angola,2003.0,0.587810214
Angola,2004.0,1.177610138
Angola,2005.0,1.161661852
Angola,2006.0,1.308848969
Angola,2007.0,1.435043652
Angola,2008.0,1.474353388
Angola,2009.0,1.500053579
Angola,2010.0,1.593917842
Anguilla,1997.0,1.789665495
Anguilla,1998.0,2.453557659
Anguilla,1999.0,2.392716199
Anguilla,2e3,2.981568486
Anguilla,2001.0,3.188960399
Anguilla,2002.0,3.054791858
Anguilla,2003.0,3.214323664
Anguilla,2004.0,3.36314301
Anguilla,2005.0,3.7817396
Anguilla,2006.0,3.664572625
Anguilla,2007.0,4.07605549
Anguilla,2008.0,3.980909728
Anguilla,2009.0,3.896822761
Anguilla,2010.0,4.297434562
Antigua and Barbuda,1990.0,4.833713814
Antigua and Barbuda,1991.0,4.674336828
Antigua and Barbuda,1992.0,4.597557025
Antigua and Barbuda,1993.0,4.721174775
Antigua and Barbuda,1994.0,4.659042778
Antigua and Barbuda,1995.0,4.700717734
Antigua and Barbuda,1996.0,4.580080435
Antigua and Barbuda,1997.0,4.664325286
Antigua and Barbuda,1998.0,4.497461473
Antigua and Barbuda,1999.0,4.584238117
Antigua and Barbuda,2e3,4.438377803
Antigua and Barbuda,2001.0,4.353775869
Antigua and Barbuda,2002.0,4.50892469
Antigua and Barbuda,2003.0,4.756310474
Antigua and Barbuda,2004.0,4.913204085
Antigua and Barbuda,2005.0,4.893782672
Antigua and Barbuda,2006.0,5.006748909
Antigua and Barbuda,2007.0,5.162816858
Antigua and Barbuda,2008.0,5.275415031
Antigua and Barbuda,2009.0,5.679445419
Antigua and Barbuda,2010.0,5.786645624
Argentina,1990.0,3.44959894
Argentina,1991.0,3.535751351
Argentina,1992.0,3.620639537
Argentina,1993.0,3.490030345
Argentina,1994.0,3.583325741
Argentina,1995.0,3.515586597
Argentina,1996.0,3.661563359
Argentina,1997.0,3.770570751
Argentina,1998.0,3.80967752
Argentina,1999.0,3.981141308
Argentina,2e3,3.819693795
Argentina,2001.0,3.555285353
Argentina,2002.0,3.273067083
Argentina,2003.0,3.502902225
Argentina,2004.0,4.072843801
Argentina,2005.0,4.160611395
Argentina,2006.0,4.464492014
Argentina,2007.0,4.582394268
Argentina,2008.0,4.785169983
Argentina,2009.0,4.48356446
Argentina,2010.0,4.466338068
Argentina,2011.0,4.676319501
Argentina,2012.0,4.774982485
Armenia,1992.0,1.17441656
Armenia,1993.0,0.859449879
Armenia,1994.0,0.901473112
Armenia,1995.0,1.082990788
Armenia,1996.0,0.821831009
Armenia,1997.0,1.045668737
Armenia,1998.0,1.095600733
Armenia,1999.0,0.989444203
Armenia,2e3,1.126427051
Armenia,2001.0,1.155322737
Armenia,2002.0,0.994206704
Armenia,2003.0,1.120167569
Armenia,2004.0,1.190051716
