Name,Total,Sex,Year,Frequency
AADEN,22,1.0,1915.0,0
AALIYAH,308,2.0,1915.0,0
AANYA,12,2.0,1915.0,0
AARAV,79,1.0,1915.0,0
AARON,6233,1.0,1915.0,0
AARUSH,5,1.0,1915.0,0
AARYA,11,2.0,1915.0,0
AARYAN,31,1.0,1915.0,0
AAYAN,10,1.0,1915.0,0
ABBEY,127,2.0,1915.0,0
ABBIE,40,2.0,1915.0,0
ABBIGAIL,65,2.0,1915.0,0
ABBY,432,2.0,1915.0,0
ABDUL,7,1.0,1915.0,0
ABDULAZIZ,7,1.0,1915.0,0
ABDULLAH,82,1.0,1915.0,0
ABEL,52,1.0,1915.0,0
ABHIJOT,15,1.0,1915.0,0
ABIGAIL,2040,2.0,1915.0,0
ABIGALE,10,2.0,1915.0,0
ABIGAYLE,15,2.0,1915.0,0
ABRAHAM,78,1.0,1915.0,0
ABRIELLE,5,2.0,1915.0,0
ACACIA,69,2.0,1915.0,0
ACE,13,1.0,1915.0,0
ADA,323,2.0,1915.0,14
ADALYN,39,2.0,1915.0,0
ADALYNN,27,2.0,1915.0,0
ADAM,6827,1.0,1915.0,6
ADDILYN,5,2.0,1915.0,0
ADDISON,27,1.0,1915.0,0
ADDISON,551,2.0,1915.0,0
ADDISYN,28,2.0,1915.0,0
ADDYSON,51,2.0,1915.0,0
ADELA,5,2.0,1915.0,0
ADELAIDE,99,2.0,1915.0,0
ADELE,276,2.0,1915.0,5
ADELINA,5,2.0,1915.0,0
ADELINE,65,2.0,1915.0,0
ADELLE,13,2.0,1915.0,0
ADELYN,49,2.0,1915.0,0
ADELYNN,9,2.0,1915.0,0
ADEN,103,1.0,1915.0,0
ADIA,5,2.0,1915.0,0
ADINA,5,2.0,1915.0,0
ADISON,7,2.0,1915.0,0
ADITYA,10,1.0,1915.0,0
ADLEY,5,2.0,1915.0,0
ADRIA,15,2.0,1915.0,0
ADRIAN,1887,1.0,1915.0,0
ADRIANA,316,2.0,1915.0,0
ADRIANNA,255,2.0,1915.0,0
ADRIANNE,20,2.0,1915.0,0
ADRIANO,20,1.0,1915.0,0
ADRIEL,5,1.0,1915.0,0
ADRIEN,40,1.0,1915.0,0
ADRIENNE,791,2.0,1915.0,0
AEDAN,27,1.0,1915.0,0
AGAM,5,1.0,1915.0,0
AGATHA,5,2.0,1915.0,0
AGNES,1005,2.0,1915.0,38
AHMAD,72,1.0,1915.0,0
AHMED,80,1.0,1915.0,0
AIDA,5,2.0,1915.0,0
AIDAN,1870,1.0,1915.0,0
AIDAN,12,2.0,1915.0,0
AIDEN,1745,1.0,1915.0,0
AIKAM,94,1.0,1915.0,0
AIKAM,33,2.0,1915.0,0
AIKO,56,2.0,1915.0,0
AILA,22,2.0,1915.0,0
AILEEN,138,2.0,1915.0,10
AILISH,5,2.0,1915.0,0
AIMEE,591,2.0,1915.0,0
AINSLEY,235,2.0,1915.0,0
AISHA,180,2.0,1915.0,0
AISLINN,16,2.0,1915.0,0
AISLYNN,5,2.0,1915.0,0
AIYANA,26,2.0,1915.0,0
AJA,27,2.0,1915.0,0
AJAY,136,1.0,1915.0,0
AJEET,5,1.0,1915.0,0
AKASH,72,1.0,1915.0,0
AKASHA,5,2.0,1915.0,0
AKASHDEEP,35,1.0,1915.0,0
AKEMI,10,2.0,1915.0,0
AKIKO,23,2.0,1915.0,0
AKIO,5,1.0,1915.0,0
AKIRA,108,1.0,1915.0,0
AKIRA,5,2.0,1915.0,0
AKSEL,5,1.0,1915.0,0
ALAIN,5,1.0,1915.0,0
ALAINA,155,2.0,1915.0,0
ALAN,4336,1.0,1915.0,15
ALANA,1065,2.0,1915.0,0
ALANAH,5,2.0,1915.0,0
ALANNA,600,2.0,1915.0,0
ALANNAH,140,2.0,1915.0,0
ALASTAIR,18,1.0,1915.0,0
ALAYNA,68,2.0,1915.0,0
ALBA,11,2.0,1915.0,0
ALBERT,2967,1.0,1915.0,72
ALBERTA,27,2.0,1915.0,0
ALDEN,37,1.0,1915.0,0
ALEAH,71,2.0,1915.0,0
ALEC,425,1.0,1915.0,0
ALECIA,54,2.0,1915.0,0
ALEENA,62,2.0,1915.0,0
ALEESHA,16,2.0,1915.0,0
ALEISHA,57,2.0,1915.0,0
ALEJANDRO,48,1.0,1915.0,0
ALEKSANDAR,11,1.0,1915.0,0
ALEKSANDER,13,1.0,1915.0,0
ALENA,54,2.0,1915.0,0
ALESHA,31,2.0,1915.0,0
ALESSANDRA,60,2.0,1915.0,0
ALESSANDRO,25,1.0,1915.0,0
ALESSIA,27,2.0,1915.0,0
ALETA,8,2.0,1915.0,0
ALETHEA,11,2.0,1915.0,0
ALEX,1555,1.0,1915.0,0
ALEX,89,2.0,1915.0,0
ALEXA,1026,2.0,1915.0,0
ALEXANDER,9441,1.0,1915.0,45
ALEXANDRA,3449,2.0,1915.0,0
ALEXANDRE,154,1.0,1915.0,0
ALEXANDREA,18,2.0,1915.0,0
ALEXANDRIA,572,2.0,1915.0,0
ALEXIA,185,2.0,1915.0,0
ALEXIS,13,1.0,1915.0,0
ALEXIS,2145,2.0,1915.0,0
ALEXUS,9,2.0,1915.0,0
ALEXZANDER,22,1.0,1915.0,0
ALFRED,1864,1.0,1915.0,47
ALI,284,1.0,1915.0,0
ALI,42,2.0,1915.0,0
ALIA,121,2.0,1915.0,0
ALICE,2665,2.0,1915.0,93
ALICIA,1957,2.0,1915.0,0
ALIDA,5,2.0,1915.0,0
ALIESHA,5,2.0,1915.0,0
ALINA,245,2.0,1915.0,0
ALISA,291,2.0,1915.0,0
ALISHA,978,2.0,1915.0,0
ALISON,2224,2.0,1915.0,0
ALISSA,299,2.0,1915.0,0
ALISTAIR,79,1.0,1915.0,0
ALITA,6,2.0,1915.0,0
ALIVIA,160,2.0,1915.0,0
ALIX,37,2.0,1915.0,0
ALIYA,197,2.0,1915.0,0
ALIYAH,257,2.0,1915.0,0
ALIZA,18,2.0,1915.0,0
ALLAN,4527,1.0,1915.0,27
ALLEGRA,6,2.0,1915.0,0
ALLEN,1835,1.0,1915.0,6
ALLIE,120,2.0,1915.0,0
ALLISON,2232,2.0,1915.0,0
ALLY,44,2.0,1915.0,0
ALLYSA,5,2.0,1915.0,0
ALLYSHA,11,2.0,1915.0,0
ALLYSON,160,2.0,1915.0,0
ALLYSSA,50,2.0,1915.0,0
ALMA,253,2.0,1915.0,13
ALORA,16,2.0,1915.0,0
ALTHEA,5,2.0,1915.0,0
ALVIN,903,1.0,1915.0,0
ALY,5,1.0,1915.0,0
ALYCIA,157,2.0,1915.0,0
ALYSA,6,2.0,1915.0,0
ALYSE,22,2.0,1915.0,0
ALYSHA,643,2.0,1915.0,0
ALYSHIA,18,2.0,1915.0,0
ALYSIA,44,2.0,1915.0,0
ALYSON,171,2.0,1915.0,0
ALYSSA,2534,2.0,1915.0,0
ALYSSIA,5,2.0,1915.0,0
ALYVIA,25,2.0,1915.0,0
AM…LIE,72,2.0,1915.0,0
AMALIA,24,2.0,1915.0,0
AMAN,105,1.0,1915.0,0
AMAN,23,2.0,1915.0,0
AMANAT,47,2.0,1915.0,0
AMANDA,8258,2.0,1915.0,0
AMANDA-LEE,5,2.0,1915.0,0
AMANDEEP,257,1.0,1915.0,0
AMANDEEP,260,2.0,1915.0,0
AMANJOT,5,2.0,1915.0,0
AMANPREET,10,1.0,1915.0,0
AMANPREET,79,2.0,1915.0,0
AMAR,38,1.0,1915.0,0
AMARA,74,2.0,1915.0,0
AMARDEEP,40,1.0,1915.0,0
AMARJIT,5,1.0,1915.0,0
AMARJIT,5,2.0,1915.0,0
AMARPREET,6,1.0,1915.0,0
AMARPREET,6,2.0,1915.0,0
AMAYA,110,2.0,1915.0,0
AMBER,3139,2.0,1915.0,0
AMBERLY,5,2.0,1915.0,0
AMEERA,28,2.0,1915.0,0
AMELIA,1514,2.0,1915.0,11
AMELIE,118,2.0,1915.0,0
AMI,5,2.0,1915.0,0
AMIE,175,2.0,1915.0,0
AMINA,22,2.0,1915.0,0
AMIR,42,1.0,1915.0,0
AMIRA,128,2.0,1915.0,0
AMISHA,16,2.0,1915.0,0
AMIT,127,1.0,1915.0,0
AMMAR,5,1.0,1915.0,0
AMNEET,29,2.0,1915.0,0
AMOS,19,1.0,1915.0,0
AMREEN,9,2.0,1915.0,0
AMRINDER,7,1.0,1915.0,0
AMRIT,203,1.0,1915.0,0
AMRIT,240,2.0,1915.0,0
AMRITA,61,2.0,1915.0,0
AMRITPAL,90,1.0,1915.0,0
AMRITPAUL,5,1.0,1915.0,0
AMY,4273,2.0,1915.0,7
ANA,252,2.0,1915.0,0
ANABELLE,25,2.0,1915.0,0
ANAœS,5,2.0,1915.0,0
ANASTASIA,430,2.0,1915.0,0
ANAYA,94,2.0,1915.0,0
ANAYAH,5,2.0,1915.0,0
ANDERS,38,1.0,1915.0,0
ANDERSON,86,1.0,1915.0,0
ANDIE,5,2.0,1915.0,0
ANDR…,43,1.0,1915.0,0
ANDRE,614,1.0,1915.0,0
ANDREA,5160,2.0,1915.0,0
ANDREAS,189,1.0,1915.0,0
ANDREI,33,1.0,1915.0,0
ANDREW,12817,1.0,1915.0,30
ANDRIA,12,2.0,1915.0,0
ANDY,625,1.0,1915.0,0
ANEET,6,2.0,1915.0,0
ANGAD,109,1.0,1915.0,0
ANGEL,462,2.0,1915.0,0
ANGELA,5778,2.0,1915.0,0
ANGELENE,5,2.0,1915.0,0
ANGELICA,294,2.0,1915.0,0
ANGELINA,767,2.0,1915.0,6
ANGELINE,136,2.0,1915.0,0
